game_id,period,teamTricode,period_points,possessions,major_runs,run_points,pts_per_poss,game_control_index
S2324-G0040,1,PHI,24.0,23,0,119.0,1.0,0.719
S2324-G0040,2,CLE,38.0,23,0,122.0,1.5833333333333333,1.072
S2324-G0040,2,PHI,29.0,22,0,119.0,1.2608695652173914,0.8755217391304347
S2324-G0040,3,CLE,23.0,23,0,122.0,0.9583333333333334,0.697
S2324-G0040,3,PHI,26.0,23,0,119.0,1.0833333333333333,0.7689999999999999
S2324-G0040,4,CLE,22.0,21,0,122.0,1.0,0.722
S2324-G0040,4,PHI,31.0,21,0,119.0,1.4090909090909092,0.9644545454545455
S2324-G0040,5,CLE,12.0,11,0,122.0,1.0,0.722
S2324-G0040,5,PHI,9.0,9,0,119.0,0.9,0.659
S2324-G0041,1,PHX,34.0,24,0,120.0,1.36,0.936
S2324-G0041,1,POR,21.0,26,0,107.0,0.7777777777777778,0.5736666666666667
S2324-G0041,2,PHX,22.0,24,0,120.0,0.88,0.648
S2324-G0041,2,POR,30.0,21,0,107.0,1.3636363636363635,0.9251818181818181
S2324-G0041,3,PHX,38.0,24,0,120.0,1.52,1.032
S2324-G0041,3,POR,31.0,20,0,107.0,1.4761904761904763,0.9927142857142858
S2324-G0041,4,PHX,26.0,18,0,120.0,1.368421052631579,0.9410526315789474
S2324-G0041,4,POR,25.0,22,0,107.0,1.0869565217391304,0.7591739130434781
S2324-G0042,1,LAL,32.0,19,0,131.0,1.6,1.091
S2324-G0042,1,UTA,17.0,22,0,99.0,0.7391304347826086,0.5424782608695652
S2324-G0042,2,LAL,30.0,25,0,131.0,1.1538461538461537,0.8233076923076922
S2324-G0042,2,UTA,24.0,27,0,99.0,0.8571428571428571,0.6132857142857142
S2324-G0042,3,LAL,40.0,22,0,131.0,1.7391304347826086,1.1744782608695652
